id,project_id,assignee_id,title,description,status,due_date,evaluation_score
task-demo-setup,proj-demo-onboarding,emp-demo-youssef,Configurer le poste de travail,Installation des outils internes et accès.,À faire,2026-06-21,
task-demo-manager-meeting,proj-demo-onboarding,emp-demo-youssef,Rencontre avec le manager,Point d'intégration avec Fatima Alaoui.,À faire,2026-06-20,
dcf646cc-804b-4b1f-b187-c51a85facab0,proj-1,emp-76,Le pouvoir d'atteindre vos buts à sa source,بريطانيا-فرنسا فرنسا بالجانب الإكتفاء وحتّى إستعمل.,Terminé,2021-10-30,93
87709c79-ae08-43b3-a5e3-5f38c871ce8a,proj-1,emp-37,Cross-group intermediate attitude,Speech news only no form business.,Terminé,2021-12-09,66
557caf41-a5df-4254-b466-ae209cb95510,proj-1,emp-53,L'art d'avancer sans soucis,Choice lot suggest glass news.,Terminé,2022-04-26,99
97073f04-0a1e-4cbd-a033-cdde154e2ec2,proj-1,emp-77,Virtual even-keeled orchestration,وإعلان ويكيبيديا مواقعها شاسعة عقبت أعلنت.,Terminé,2022-08-04,63
c2590710-5348-4253-9021-d2958e4c2fdf,proj-1,emp-21,Team-oriented encompassing algorithm,كانت المجتمع اليابانية أخذ والفلبين.,Terminé,2022-01-23,90
eb0ef840-42ef-4b28-b487-cfda582abb1e,proj-1,emp-58,Switchable impactful architecture,استراليا تنفّس بالجوي.,Terminé,2022-05-27,71
8636d7d3-48b7-46bc-87a5-4ce65d02d7fc,proj-1,emp-32,Le confort de louer en toute tranquilité,Since nothing be apply church pay.,Terminé,2022-02-07,98
984c01ac-0261-4cf5-bd3b-c789b419b74c,proj-1,emp-90,Configurable encompassing intranet,Magazine kind event sense box involve.,Terminé,2022-01-05,67
d925b085-b2c4-4cec-b16d-af98d02835f3,proj-1,emp-100,La possibilité d'innover de manière efficace,يذكر أوسع الحرة وفي مئات ليرتفع.,Terminé,2022-07-12,82
42ee6e6e-0558-4b81-b0dd-d1141e71319e,proj-1,emp-7,Le plaisir de rouler naturellement,Compare herself region matter street south.,Terminé,2022-08-09,67
bf8e8ffa-63ca-4d4e-85e3-a4a185246542,proj-1,emp-76,Object-based user-facing analyzer,Importer avec enfance.,Terminé,2022-09-22,56
2f0c79da-96f0-4db3-8f6e-847915e2c4cd,proj-1,emp-22,La liberté d'atteindre vos buts en toute tranquilité,أسيا النزاع مقاطعة شعار هذا وجهان.,Terminé,2021-11-01,61
ecdfe97d-11d0-4f77-9d38-5fd04400f911,proj-1,emp-demo-youssef,Optional bi-directional encryption,Fou avec sombre queue danser rendre avant partager.,Terminé,2022-04-17,63
75cf90fd-a374-4267-86e5-76b9993f5382,proj-1,emp-68,Profound content-based time-frame,Propos route rond demande chaud cou.,Terminé,2022-07-21,81
3d79f59c-15c1-4bd0-8230-094a808ecafc,proj-1,emp-39,Distributed well-modulated task-force,Concern significant management senior.,Terminé,2022-01-17,59
addf8b07-186f-467b-bff2-4b9d879af2c8,proj-1,emp-89,Organized systemic open system,Follow wife firm key light place someone option.,Terminé,2022-10-22,98
f7046572-c5a6-4899-ab71-39e01489d7a2,proj-1,emp-63,L'assurance de concrétiser vos projets naturellement,بالأجل الفترة عل يتبقّ.,Terminé,2022-06-26,96
