id,title,level,description
job-1,Directeur RH,Executive,Poste de Directeur RH au sein du département Ressources Humaines.
job-2,Responsable RH,Senior,Poste de Responsable RH au sein du département Ressources Humaines.
job-3,HR Business Partner,Senior,Poste de HR Business Partner au sein du département Ressources Humaines.
job-4,Chargé de Recrutement,Mid,Poste de Chargé de Recrutement au sein du département Ressources Humaines.
job-5,Gestionnaire de Paie,Mid,Poste de Gestionnaire de Paie au sein du département Ressources Humaines.
job-6,Office Manager,Junior,Poste de Office Manager au sein du département Ressources Humaines.
job-7,Directeur Technique,Executive,Poste de Directeur Technique au sein du département IT & Engineering.
job-8,Engineering Manager,Senior,Poste de Engineering Manager au sein du département IT & Engineering.
job-9,Lead Développeur,Senior,Poste de Lead Développeur au sein du département IT & Engineering.
job-10,Développeur Backend,Mid,Poste de Développeur Backend au sein du département IT & Engineering.
job-11,Développeur Frontend,Mid,Poste de Développeur Frontend au sein du département IT & Engineering.
job-12,Ingénieur DevOps,Senior,Poste de Ingénieur DevOps au sein du département IT & Engineering.
job-13,Software Engineer,Mid,Poste de Software Engineer au sein du département IT & Engineering.
job-14,Administrateur Système,Senior,Poste de Administrateur Système au sein du département IT & Engineering.
job-15,QA Tester,Junior,Poste de QA Tester au sein du département IT & Engineering.
job-16,Data Scientist,Mid,Poste de Data Scientist au sein du département IT & Engineering.
job-17,Directeur Financier,Executive,Poste de Directeur Financier au sein du département Finance & Comptabilité.
job-18,Contrôleur de Gestion,Senior,Poste de Contrôleur de Gestion au sein du département Finance & Comptabilité.
job-19,Comptable,Mid,Poste de Comptable au sein du département Finance & Comptabilité.
job-20,Analyste Financier,Junior,Poste de Analyste Financier au sein du département Finance & Comptabilité.
job-21,Directeur Marketing,Executive,Poste de Directeur Marketing au sein du département Marketing & Communication.
job-22,Product Marketing Manager,Senior,Poste de Product Marketing Manager au sein du département Marketing & Communication.
job-23,Community Manager,Junior,Poste de Community Manager au sein du département Marketing & Communication.
job-24,Content Creator,Mid,Poste de Content Creator au sein du département Marketing & Communication.
job-25,SEO Specialist,Mid,Poste de SEO Specialist au sein du département Marketing & Communication.
job-26,Directeur Commercial,Executive,Poste de Directeur Commercial au sein du département Ventes.
job-27,Key Account Manager,Senior,Poste de Key Account Manager au sein du département Ventes.
job-28,Commercial B2B,Mid,Poste de Commercial B2B au sein du département Ventes.
job-29,SDR,Junior,Poste de SDR au sein du département Ventes.
job-30,Directeur Général,Executive,Poste de Directeur Général au sein du département Direction Générale.
job-31,Directrice des opérations RH,Executive,Poste de Directrice des opérations RH au sein du département Direction Générale.
job-32,COO,Executive,Poste de COO au sein du département Direction Générale.
job-33,Assistant de Direction,Mid,Poste de Assistant de Direction au sein du département Direction Générale.
